ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1075848986::Value  [read only],1075849148::Comments,1073742125::Definition,1073742126::Name,1075849083::Default,1075849176::Physical Name,1075850193::Dependent Objects  [read only],1075850212::Constraint Name,1075852278::Extended Notes Order  [read only],1073742125::Definition
"1075839170::793","DF_Sales_InvoiceLines_LastEditedWhen",Default Constraint Usage,"sysdatetime()","","","DF_Sales_InvoiceLines_LastEditedWhen","DF_Sales_InvoiceLines_LastEditedWhen","DF_Sales_InvoiceLines_LastEditedWhen","","","",""
"1075839170::840","DF_Sales_Invoices_InvoiceID",Default Constraint Usage,"NEXT VALUE FOR [Sequences].[InvoiceID]","","","DF_Sales_Invoices_InvoiceID","DF_Sales_Invoices_InvoiceID","DF_Sales_Invoices_InvoiceID","","","",""
"1075839170::844","DF_Sales_Invoices_LastEditedWhen",Default Constraint Usage,"sysdatetime()","","","DF_Sales_Invoices_LastEditedWhen","DF_Sales_Invoices_LastEditedWhen","DF_Sales_Invoices_LastEditedWhen","","","",""
"1075839170::888","DF_Sales_OrderLines_OrderLineID",Default Constraint Usage,"NEXT VALUE FOR [Sequences].[OrderLineID]","","","DF_Sales_OrderLines_OrderLineID","DF_Sales_OrderLines_OrderLineID","DF_Sales_OrderLines_OrderLineID","","","",""
"1075839170::890","DF_Sales_OrderLines_LastEditedWhen",Default Constraint Usage,"sysdatetime()","","","DF_Sales_OrderLines_LastEditedWhen","DF_Sales_OrderLines_LastEditedWhen","DF_Sales_OrderLines_LastEditedWhen","","","",""
"1075839170::937","DF_Sales_Orders_OrderID",Default Constraint Usage,"NEXT VALUE FOR [Sequences].[OrderID]","","","DF_Sales_Orders_OrderID","DF_Sales_Orders_OrderID","DF_Sales_Orders_OrderID","","","",""
"1075839170::939","DF_Sales_Orders_LastEditedWhen",Default Constraint Usage,"sysdatetime()","","","DF_Sales_Orders_LastEditedWhen","DF_Sales_Orders_LastEditedWhen","DF_Sales_Orders_LastEditedWhen","","","",""
"1075839170::961","DF_Warehouse_PackageTypes_PackageTypeID",Default Constraint Usage,"NEXT VALUE FOR [Sequences].[PackageTypeID]","","","DF_Warehouse_PackageTypes_PackageTypeID","DF_Warehouse_PackageTypes_PackageTypeID","DF_Warehouse_PackageTypes_PackageTypeID","","","",""
"1075839170::974","DF_Application_PaymentMethods_PaymentMethodID",Default Constraint Usage,"NEXT VALUE FOR [Sequences].[PaymentMethodID]","","","DF_Application_PaymentMethods_PaymentMethodID","DF_Application_PaymentMethods_PaymentMethodID","DF_Application_PaymentMethods_PaymentMethodID","","","",""
"1075839170::1003","DF_Application_People_PersonID",Default Constraint Usage,"NEXT VALUE FOR [Sequences].[PersonID]","","","DF_Application_People_PersonID","DF_Application_People_PersonID","DF_Application_People_PersonID","","","",""
"1075839170::1033","DF_Purchasing_PurchaseOrderLines_PurchaseOrderLineID",Default Constraint Usage,"NEXT VALUE FOR [Sequences].[PurchaseOrderLineID]","","","DF_Purchasing_PurchaseOrderLines_PurchaseOrderLineID","DF_Purchasing_PurchaseOrderLines_PurchaseOrderLineID","DF_Purchasing_PurchaseOrderLines_PurchaseOrderLineID","","","",""
"1075839170::1035","DF_Purchasing_PurchaseOrderLines_LastEditedWhen",Default Constraint Usage,"sysdatetime()","","","DF_Purchasing_PurchaseOrderLines_LastEditedWhen","DF_Purchasing_PurchaseOrderLines_LastEditedWhen","DF_Purchasing_PurchaseOrderLines_LastEditedWhen","","","",""
"1075839170::1065","DF_Purchasing_PurchaseOrders_PurchaseOrderID",Default Constraint Usage,"NEXT VALUE FOR [Sequences].[PurchaseOrderID]","","","DF_Purchasing_PurchaseOrders_PurchaseOrderID","DF_Purchasing_PurchaseOrders_PurchaseOrderID","DF_Purchasing_PurchaseOrders_PurchaseOrderID","","","",""
"1075839170::1067","DF_Purchasing_PurchaseOrders_LastEditedWhen",Default Constraint Usage,"sysdatetime()","","","DF_Purchasing_PurchaseOrders_LastEditedWhen","DF_Purchasing_PurchaseOrders_LastEditedWhen","DF_Purchasing_PurchaseOrders_LastEditedWhen","","","",""
"1075839170::1095","DF_Sales_SpecialDeals_SpecialDealID",Default Constraint Usage,"NEXT VALUE FOR [Sequences].[SpecialDealID]","","","DF_Sales_SpecialDeals_SpecialDealID","DF_Sales_SpecialDeals_SpecialDealID","DF_Sales_SpecialDeals_SpecialDealID","","","",""
"1075839170::1097","DF_Sales_SpecialDeals_LastEditedWhen",Default Constraint Usage,"sysdatetime()","","","DF_Sales_SpecialDeals_LastEditedWhen","DF_Sales_SpecialDeals_LastEditedWhen","DF_Sales_SpecialDeals_LastEditedWhen","","","",""
"1075839170::1131","DF_Application_StateProvinces_StateProvinceID",Default Constraint Usage,"NEXT VALUE FOR [Sequences].[StateProvinceID]","","","DF_Application_StateProvinces_StateProvinceID","DF_Application_StateProvinces_StateProvinceID","DF_Application_StateProvinces_StateProvinceID","","","",""
"1075839170::1150","DF_Warehouse_StockGroups_StockGroupID",Default Constraint Usage,"NEXT VALUE FOR [Sequences].[StockGroupID]","","","DF_Warehouse_StockGroups_StockGroupID","DF_Warehouse_StockGroups_StockGroupID","DF_Warehouse_StockGroups_StockGroupID","","","",""
"1075839170::1167","DF_Warehouse_StockItemHoldings_LastEditedWhen",Default Constraint Usage,"sysdatetime()","","","DF_Warehouse_StockItemHoldings_LastEditedWhen","DF_Warehouse_StockItemHoldings_LastEditedWhen","DF_Warehouse_StockItemHoldings_LastEditedWhen","","","",""
"1075839170::1197","DF_Warehouse_StockItems_StockItemID",Default Constraint Usage,"NEXT VALUE FOR [Sequences].[StockItemID]","","","DF_Warehouse_StockItems_StockItemID","DF_Warehouse_StockItems_StockItemID","DF_Warehouse_StockItems_StockItemID","","","",""
"1075839170::1222","DF_Warehouse_StockItemStockGroups_StockItemStockGroupID",Default Constraint Usage,"NEXT VALUE FOR [Sequences].[StockItemStockGroupID]","","","DF_Warehouse_StockItemStockGroups_StockItemStockGroupID","DF_Warehouse_StockItemStockGroups_StockItemStockGroupID","DF_Warehouse_StockItemStockGroups_StockItemStockGroupID","","","",""
"1075839170::1224","DF_Warehouse_StockItemStockGroups_LastEditedWhen",Default Constraint Usage,"sysdatetime()","","","DF_Warehouse_StockItemStockGroups_LastEditedWhen","DF_Warehouse_StockItemStockGroups_LastEditedWhen","DF_Warehouse_StockItemStockGroups_LastEditedWhen","","","",""
"1075839170::1248","DF_Warehouse_StockItemTransactions_StockItemTransactionID",Default Constraint Usage,"NEXT VALUE FOR [Sequences].[TransactionID]","","","DF_Warehouse_StockItemTransactions_StockItemTransactionID","DF_Warehouse_StockItemTransactions_StockItemTransactionID","DF_Warehouse_StockItemTransactions_StockItemTransactionID","","","",""
"1075839170::1250","DF_Warehouse_StockItemTransactions_LastEditedWhen",Default Constraint Usage,"sysdatetime()","","","DF_Warehouse_StockItemTransactions_LastEditedWhen","DF_Warehouse_StockItemTransactions_LastEditedWhen","DF_Warehouse_StockItemTransactions_LastEditedWhen","","","",""
"1075839170::1291","DF_Purchasing_SupplierCategories_SupplierCategoryID",Default Constraint Usage,"NEXT VALUE FOR [Sequences].[SupplierCategoryID]","","","DF_Purchasing_SupplierCategories_SupplierCategoryID","DF_Purchasing_SupplierCategories_SupplierCategoryID","DF_Purchasing_SupplierCategories_SupplierCategoryID","","","",""
"1075839170::1328","DF_Purchasing_Suppliers_SupplierID",Default Constraint Usage,"NEXT VALUE FOR [Sequences].[SupplierID]","","","DF_Purchasing_Suppliers_SupplierID","DF_Purchasing_Suppliers_SupplierID","DF_Purchasing_Suppliers_SupplierID","","","",""
"1075839170::1369","DF_Purchasing_SupplierTransactions_SupplierTransactionID",Default Constraint Usage,"NEXT VALUE FOR [Sequences].[TransactionID]","","","DF_Purchasing_SupplierTransactions_SupplierTransactionID","DF_Purchasing_SupplierTransactions_SupplierTransactionID","DF_Purchasing_SupplierTransactions_SupplierTransactionID","","","",""
"1075839170::1371","DF_Purchasing_SupplierTransactions_LastEditedWhen",Default Constraint Usage,"sysdatetime()","","","DF_Purchasing_SupplierTransactions_LastEditedWhen","DF_Purchasing_SupplierTransactions_LastEditedWhen","DF_Purchasing_SupplierTransactions_LastEditedWhen","","","",""
"1075839170::1447","DF_Application_SystemParameters_SystemParameterID",Default Constraint Usage,"NEXT VALUE FOR [Sequences].[SystemParameterID]","","","DF_Application_SystemParameters_SystemParameterID","DF_Application_SystemParameters_SystemParameterID","DF_Application_SystemParameters_SystemParameterID","","","",""
"1075839170::1449","DF_Application_SystemParameters_LastEditedWhen",Default Constraint Usage,"sysdatetime()","","","DF_Application_SystemParameters_LastEditedWhen","DF_Application_SystemParameters_LastEditedWhen","DF_Application_SystemParameters_LastEditedWhen","","","",""
"1075839170::1465","DF_Application_TransactionTypes_TransactionTypeID",Default Constraint Usage,"NEXT VALUE FOR [Sequences].[TransactionTypeID]","","","DF_Application_TransactionTypes_TransactionTypeID","DF_Application_TransactionTypes_TransactionTypeID","DF_Application_TransactionTypes_TransactionTypeID","","","",""
