ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075848986::Value,1075849148::Comments,1075849172::Physical Only,1075849173::Logical Only,1075849176::Physical Name,1075849458::Default Value,1075849712::Generate SQL 92 Format,1075849713::Is Detach,1075849717::Is Supplied,1075849718::System Generated,1075850193::Dependent Objects  [read only],1075850516::User Formatted Name  [read only],1075850737::Schema,1075852160::Generate Using Bind,1075852278::Extended Notes Order  [read only]
"1075839019::1202","DF_Product_ModifiedDate",Default Value,"","DF_Product_ModifiedDate","getdate()","","","","DF_Product_ModifiedDate","","","","","","DF_Product_ModifiedDate","DF_Product_ModifiedDate","Production","false",""
"1075839019::1222","DF_ProductCategory_rowguid",Default Value,"","DF_ProductCategory_rowguid","newid()","","","","DF_ProductCategory_rowguid","","","","","","DF_ProductCategory_rowguid","DF_ProductCategory_rowguid","Production","false",""
"1075839019::1224","DF_ProductCategory_ModifiedDate",Default Value,"","DF_ProductCategory_ModifiedDate","getdate()","","","","DF_ProductCategory_ModifiedDate","","","","","","DF_ProductCategory_ModifiedDate","DF_ProductCategory_ModifiedDate","Production","false",""
"1075839019::1242","DF_ProductCostHistory_ModifiedDate",Default Value,"","DF_ProductCostHistory_ModifiedDate","getdate()","","","","DF_ProductCostHistory_ModifiedDate","","","","","","DF_ProductCostHistory_ModifiedDate","DF_ProductCostHistory_ModifiedDate","Production","false",""
"1075839019::1254","DF_ProductDescription_rowguid",Default Value,"","DF_ProductDescription_rowguid","newid()","","","","DF_ProductDescription_rowguid","","","","","","DF_ProductDescription_rowguid","DF_ProductDescription_rowguid","Production","false",""
"1075839019::1256","DF_ProductDescription_ModifiedDate",Default Value,"","DF_ProductDescription_ModifiedDate","getdate()","","","","DF_ProductDescription_ModifiedDate","","","","","","DF_ProductDescription_ModifiedDate","DF_ProductDescription_ModifiedDate","Production","false",""
"1075839019::1267","DF_ProductDocument_ModifiedDate",Default Value,"","DF_ProductDocument_ModifiedDate","getdate()","","","","DF_ProductDocument_ModifiedDate","","","","","","DF_ProductDocument_ModifiedDate","DF_ProductDocument_ModifiedDate","Production","false",""
"1075839019::1284","DF_ProductInventory_Quantity",Default Value,"","DF_ProductInventory_Quantity","0","","","","DF_ProductInventory_Quantity","","","","","","DF_ProductInventory_Quantity","DF_ProductInventory_Quantity","Production","false",""
"1075839019::1286","DF_ProductInventory_rowguid",Default Value,"","DF_ProductInventory_rowguid","newid()","","","","DF_ProductInventory_rowguid","","","","","","DF_ProductInventory_rowguid","DF_ProductInventory_rowguid","Production","false",""
"1075839019::1288","DF_ProductInventory_ModifiedDate",Default Value,"","DF_ProductInventory_ModifiedDate","getdate()","","","","DF_ProductInventory_ModifiedDate","","","","","","DF_ProductInventory_ModifiedDate","DF_ProductInventory_ModifiedDate","Production","false",""
"1075839019::1301","DF_ProductListPriceHistory_ModifiedDate",Default Value,"","DF_ProductListPriceHistory_ModifiedDate","getdate()","","","","DF_ProductListPriceHistory_ModifiedDate","","","","","","DF_ProductListPriceHistory_ModifiedDate","DF_ProductListPriceHistory_ModifiedDate","Production","false",""
"1075839019::1315","DF_ProductModel_rowguid",Default Value,"","DF_ProductModel_rowguid","newid()","","","","DF_ProductModel_rowguid","","","","","","DF_ProductModel_rowguid","DF_ProductModel_rowguid","Production","false",""
"1075839019::1317","DF_ProductModel_ModifiedDate",Default Value,"","DF_ProductModel_ModifiedDate","getdate()","","","","DF_ProductModel_ModifiedDate","","","","","","DF_ProductModel_ModifiedDate","DF_ProductModel_ModifiedDate","Production","false",""
"1075839019::1333","DF_ProductModelIllustration_ModifiedDate",Default Value,"","DF_ProductModelIllustration_ModifiedDate","getdate()","","","","DF_ProductModelIllustration_ModifiedDate","","","","","","DF_ProductModelIllustration_ModifiedDate","DF_ProductModelIllustration_ModifiedDate","Production","false",""
"1075839019::1343","DF_ProductModelProductDescriptionCulture_ModifiedDate",Default Value,"","DF_ProductModelProductDescriptionCulture_ModifiedDate","getdate()","","","","DF_ProductModelProductDescriptionCulture_ModifiedDate","","","","","","DF_ProductModelProductDescriptionCulture_ModifiedDate","DF_ProductModelProductDescriptionCulture_ModifiedDate","Production","false",""
"1075839019::1356","DF_ProductPhoto_ModifiedDate",Default Value,"","DF_ProductPhoto_ModifiedDate","getdate()","","","","DF_ProductPhoto_ModifiedDate","","","","","","DF_ProductPhoto_ModifiedDate","DF_ProductPhoto_ModifiedDate","Production","false",""
"1075839019::1365","DF_ProductProductPhoto_Primary",Default Value,"","DF_ProductProductPhoto_Primary","0","","","","DF_ProductProductPhoto_Primary","","","","","","DF_ProductProductPhoto_Primary","DF_ProductProductPhoto_Primary","Production","false",""
"1075839019::1367","DF_ProductProductPhoto_ModifiedDate",Default Value,"","DF_ProductProductPhoto_ModifiedDate","getdate()","","","","DF_ProductProductPhoto_ModifiedDate","","","","","","DF_ProductProductPhoto_ModifiedDate","DF_ProductProductPhoto_ModifiedDate","Production","false",""
"1075839019::1381","DF_ProductReview_ReviewDate",Default Value,"","DF_ProductReview_ReviewDate","getdate()","","","","DF_ProductReview_ReviewDate","","","","","","DF_ProductReview_ReviewDate","DF_ProductReview_ReviewDate","Production","false",""
"1075839019::1385","DF_ProductReview_ModifiedDate",Default Value,"","DF_ProductReview_ModifiedDate","getdate()","","","","DF_ProductReview_ModifiedDate","","","","","","DF_ProductReview_ModifiedDate","DF_ProductReview_ModifiedDate","Production","false",""
"1075839019::1401","DF_ProductSubcategory_rowguid",Default Value,"","DF_ProductSubcategory_rowguid","newid()","","","","DF_ProductSubcategory_rowguid","","","","","","DF_ProductSubcategory_rowguid","DF_ProductSubcategory_rowguid","Production","false",""
"1075839019::1403","DF_ProductSubcategory_ModifiedDate",Default Value,"","DF_ProductSubcategory_ModifiedDate","getdate()","","","","DF_ProductSubcategory_ModifiedDate","","","","","","DF_ProductSubcategory_ModifiedDate","DF_ProductSubcategory_ModifiedDate","Production","false",""
"1075839019::1417","DF_ScrapReason_ModifiedDate",Default Value,"","DF_ScrapReason_ModifiedDate","getdate()","","","","DF_ScrapReason_ModifiedDate","","","","","","DF_ScrapReason_ModifiedDate","DF_ScrapReason_ModifiedDate","Production","false",""
"1075839019::1434","DF_TransactionHistory_ReferenceOrderLineID",Default Value,"","DF_TransactionHistory_ReferenceOrderLineID","0","","","","DF_TransactionHistory_ReferenceOrderLineID","","","","","","DF_TransactionHistory_ReferenceOrderLineID","DF_TransactionHistory_ReferenceOrderLineID","Production","false",""
"1075839019::1436","DF_TransactionHistory_TransactionDate",Default Value,"","DF_TransactionHistory_TransactionDate","getdate()","","","","DF_TransactionHistory_TransactionDate","","","","","","DF_TransactionHistory_TransactionDate","DF_TransactionHistory_TransactionDate","Production","false",""
"1075839019::1440","DF_TransactionHistory_ModifiedDate",Default Value,"","DF_TransactionHistory_ModifiedDate","getdate()","","","","DF_TransactionHistory_ModifiedDate","","","","","","DF_TransactionHistory_ModifiedDate","DF_TransactionHistory_ModifiedDate","Production","false",""
"1075839019::1461","DF_TransactionHistoryArchive_ReferenceOrderLineID",Default Value,"","DF_TransactionHistoryArchive_ReferenceOrderLineID","0","","","","DF_TransactionHistoryArchive_ReferenceOrderLineID","","","","","","DF_TransactionHistoryArchive_ReferenceOrderLineID","DF_TransactionHistoryArchive_ReferenceOrderLineID","Production","false",""
"1075839019::1463","DF_TransactionHistoryArchive_TransactionDate",Default Value,"","DF_TransactionHistoryArchive_TransactionDate","getdate()","","","","DF_TransactionHistoryArchive_TransactionDate","","","","","","DF_TransactionHistoryArchive_TransactionDate","DF_TransactionHistoryArchive_TransactionDate","Production","false",""
"1075839019::1467","DF_TransactionHistoryArchive_ModifiedDate",Default Value,"","DF_TransactionHistoryArchive_ModifiedDate","getdate()","","","","DF_TransactionHistoryArchive_ModifiedDate","","","","","","DF_TransactionHistoryArchive_ModifiedDate","DF_TransactionHistoryArchive_ModifiedDate","Production","false",""
"1075839019::1482","DF_UnitMeasure_ModifiedDate",Default Value,"","DF_UnitMeasure_ModifiedDate","getdate()","","","","DF_UnitMeasure_ModifiedDate","","","","","","DF_UnitMeasure_ModifiedDate","DF_UnitMeasure_ModifiedDate","Production","false",""
"1075839019::1504","DF_WorkOrder_ModifiedDate",Default Value,"","DF_WorkOrder_ModifiedDate","getdate()","","","","DF_WorkOrder_ModifiedDate","","","","","","DF_WorkOrder_ModifiedDate","DF_WorkOrder_ModifiedDate","Production","false",""
"1075839019::1537","DF_WorkOrderRouting_ModifiedDate",Default Value,"","DF_WorkOrderRouting_ModifiedDate","getdate()","","","","DF_WorkOrderRouting_ModifiedDate","","","","","","DF_WorkOrderRouting_ModifiedDate","DF_WorkOrderRouting_ModifiedDate","Production","false",""
"1075839019::1574","DF_ProductVendor_ModifiedDate",Default Value,"","DF_ProductVendor_ModifiedDate","getdate()","","","","DF_ProductVendor_ModifiedDate","","","","","","DF_ProductVendor_ModifiedDate","DF_ProductVendor_ModifiedDate","Purchasing","false",""
"1075839019::1605","DF_PurchaseOrderDetail_ModifiedDate",Default Value,"","DF_PurchaseOrderDetail_ModifiedDate","getdate()","","","","DF_PurchaseOrderDetail_ModifiedDate","","","","","","DF_PurchaseOrderDetail_ModifiedDate","DF_PurchaseOrderDetail_ModifiedDate","Purchasing","false",""
"1075839019::1629","DF_PurchaseOrderHeader_RevisionNumber",Default Value,"","DF_PurchaseOrderHeader_RevisionNumber","0","","","","DF_PurchaseOrderHeader_RevisionNumber","","","","","","DF_PurchaseOrderHeader_RevisionNumber","DF_PurchaseOrderHeader_RevisionNumber","Purchasing","false",""
"1075839019::1633","DF_PurchaseOrderHeader_Status",Default Value,"","DF_PurchaseOrderHeader_Status","1","","","","DF_PurchaseOrderHeader_Status","","","","","","DF_PurchaseOrderHeader_Status","DF_PurchaseOrderHeader_Status","Purchasing","false",""
"1075839019::1635","DF_PurchaseOrderHeader_OrderDate",Default Value,"","DF_PurchaseOrderHeader_OrderDate","getdate()","","","","DF_PurchaseOrderHeader_OrderDate","","","","","","DF_PurchaseOrderHeader_OrderDate","DF_PurchaseOrderHeader_OrderDate","Purchasing","false",""
"1075839019::1639","DF_PurchaseOrderHeader_SubTotal",Default Value,"","DF_PurchaseOrderHeader_SubTotal","0.00","","","","DF_PurchaseOrderHeader_SubTotal","","","","","","DF_PurchaseOrderHeader_SubTotal","DF_PurchaseOrderHeader_SubTotal","Purchasing","false",""
"1075839019::1643","DF_PurchaseOrderHeader_TaxAmt",Default Value,"","DF_PurchaseOrderHeader_TaxAmt","0.00","","","","DF_PurchaseOrderHeader_TaxAmt","","","","","","DF_PurchaseOrderHeader_TaxAmt","DF_PurchaseOrderHeader_TaxAmt","Purchasing","false",""
"1075839019::1647","DF_PurchaseOrderHeader_Freight",Default Value,"","DF_PurchaseOrderHeader_Freight","0.00","","","","DF_PurchaseOrderHeader_Freight","","","","","","DF_PurchaseOrderHeader_Freight","DF_PurchaseOrderHeader_Freight","Purchasing","false",""
"1075839019::1649","DF_PurchaseOrderHeader_ModifiedDate",Default Value,"","DF_PurchaseOrderHeader_ModifiedDate","getdate()","","","","DF_PurchaseOrderHeader_ModifiedDate","","","","","","DF_PurchaseOrderHeader_ModifiedDate","DF_PurchaseOrderHeader_ModifiedDate","Purchasing","false",""
"1075839019::1671","DF_ShipMethod_ShipBase",Default Value,"","DF_ShipMethod_ShipBase","0.00","","","","DF_ShipMethod_ShipBase","","","","","","DF_ShipMethod_ShipBase","DF_ShipMethod_ShipBase","Purchasing","false",""
"1075839019::1675","DF_ShipMethod_ShipRate",Default Value,"","DF_ShipMethod_ShipRate","0.00","","","","DF_ShipMethod_ShipRate","","","","","","DF_ShipMethod_ShipRate","DF_ShipMethod_ShipRate","Purchasing","false",""
"1075839019::1677","DF_ShipMethod_rowguid",Default Value,"","DF_ShipMethod_rowguid","newid()","","","","DF_ShipMethod_rowguid","","","","","","DF_ShipMethod_rowguid","DF_ShipMethod_rowguid","Purchasing","false",""
"1075839019::1679","DF_ShipMethod_ModifiedDate",Default Value,"","DF_ShipMethod_ModifiedDate","getdate()","","","","DF_ShipMethod_ModifiedDate","","","","","","DF_ShipMethod_ModifiedDate","DF_ShipMethod_ModifiedDate","Purchasing","false",""
"1075839019::1700","DF_Vendor_PreferredVendorStatus",Default Value,"","DF_Vendor_PreferredVendorStatus","1","","","","DF_Vendor_PreferredVendorStatus","","","","","","DF_Vendor_PreferredVendorStatus","DF_Vendor_PreferredVendorStatus","Purchasing","false",""
"1075839019::1702","DF_Vendor_ActiveFlag",Default Value,"","DF_Vendor_ActiveFlag","1","","","","DF_Vendor_ActiveFlag","","","","","","DF_Vendor_ActiveFlag","DF_Vendor_ActiveFlag","Purchasing","false",""
"1075839019::1704","DF_Vendor_ModifiedDate",Default Value,"","DF_Vendor_ModifiedDate","getdate()","","","","DF_Vendor_ModifiedDate","","","","","","DF_Vendor_ModifiedDate","DF_Vendor_ModifiedDate","Purchasing","false",""
"1075839019::1716","DF_CountryRegionCurrency_ModifiedDate",Default Value,"","DF_CountryRegionCurrency_ModifiedDate","getdate()","","","","DF_CountryRegionCurrency_ModifiedDate","","","","","","DF_CountryRegionCurrency_ModifiedDate","DF_CountryRegionCurrency_ModifiedDate","Sales","false",""
"1075839019::1731","DF_CreditCard_ModifiedDate",Default Value,"","DF_CreditCard_ModifiedDate","getdate()","","","","DF_CreditCard_ModifiedDate","","","","","","DF_CreditCard_ModifiedDate","DF_CreditCard_ModifiedDate","Sales","false",""
"1075839019::1742","DF_Currency_ModifiedDate",Default Value,"","DF_Currency_ModifiedDate","getdate()","","","","DF_Currency_ModifiedDate","","","","","","DF_Currency_ModifiedDate","DF_Currency_ModifiedDate","Sales","false",""
